id,POI/street
313,seller afra/sela
314,/dua putri bang
315,sayang residence/
316,toko pengumben/
317,/gg . ang no
318,/kel .
319,/m joni
320,/rm . pad
321,/
322,/
323,toko kelontong/jl . dr . wahi sudi i
324,/rum diponegoro iii
325,/makam 7
326,/jalan raya casablanca
327,/grogol selatan persa
328,/kel . gang bers
329,/& burger
330,sawit raden/
331,/graha situsari
332,/
333,/seram
334,"tonga sibolga/sut sisw ,"
335,/sat kulon 2
336,/
337,/
338,toko la bebee/
339,nagri kaler/jl jend sudi
340,toko jp/
341,/agung utara agung rt
342,/lebak bulus
343,/nasi iii 717 cibuntu
344,/dr . wahi jawi pontianak
345,tugu alhid/
346,/kh . yasin
347,/kop sang cab . maum
348,/tpa nurul ibtida
349,/
350,/kiv baby ' n kids
351,/pabuaran kel
352,/kepa duri
353,/agen bis
354,/gg . gajah mada
355,poris plawad/
356,/raya rancas
357,/
358,/gg . nan no
359,/gedung keuangan negara
360,/bandar senembah sawo
361,/fachr raya kampung bali
362,/jl . sahadewa no.7
363,sampiran jl . hijau/
364,/
365,/kopwan nita kenanga
366,/gajah mada
367,/has ash
368,/kp.tla gun putri cikeas
369,"/aes nasu ,"
370,/
371,/
372,/
373,toko benang sb purwoasri/
374,/
375,/maha iii
376,tera ii/
377,sarj bawen bawen/
378,/
379,/
380,/suk ii no
381,/nak 4a
382,/
383,/
384,/
385,/pt . wira sad lestari
386,/raya pai sumberanyar ds . pesisir
387,/
388,/gudang surya
389,toko meu asy/
390,/jl . sam ratul jl . sagan 2e
391,/sum urip
392,/bintang martabak
393,/
394,/buana asri raya kel .
395,/
396,/klender bua
397,/kar indah
398,/
399,/
400,/glugur darat
401,/med utara iii medokan ayu
402,/
403,/
404,/gg . kal
405,/dr . cipto kel .
406,/gg . rukun
407,/
408,/
409,/kel .
410,smp neg 1/
411,/kra utara no
412,/jatibening baru melati
413,/
414,/gul tung p.o.p s.h .
415,paninggilan utara/
416,/
417,/raya no
418,perum cika/
419,sun mas ten e/
420,/raya mauk
421,/
422,sat i/
423,/alec boule
424,/kadipaten dewi
425,perintis bumi/
426,/indo cell
427,/warung nasi putra
428,/kp . warung jengkol
429,/dua hotel pt man dua raya mangga dua
430,/raya mayor oking
431,/jl . gay
432,yaya sti pembina palem/
433,/
434,/es kelapa
435,/
436,/jl jati rawasari
437,/timur . hotel plataran
438,wis lidah/kul iv
439,/
440,/rawa bunga
441,/lor tan raja
442,/jl . ten kar gg . ii
443,/
444,toko anta/
445,/malioboro gallery and
446,/outer ring
447,/kel .
448,/raya boj ren rawa
449,/kios manik pan lebih
450,"/ami toko ,"
451,"/raya naro ,"
452,/
453,/agung r.
454,purbosuman kel ./pud gang
455,"/notaris sumardi ,"
456,sukatani dur 1b 14/
457,/danau batur
458,/nasi iii no 15
459,/jl . baba
460,/hon kus
461,/mil 67 balikpapan
462,/puri serp 2
463,/genuk kudu
464,aries dental/
465,/pen timur i
466,/warung teh nyai
467,serdang serd baru vlll/
468,toko kum kum/
469,/bengkel sukma motor
470,/
471,pr sukun/
472,/gg . sai 32
473,/kirov game
474,/
475,/kel .
476,/bank neg indon
477,/raya batujajar kel .
478,/
479,/gg . 1
480,/buah segar
481,/hard suparmi ahmad
482,masjid bai hikmah/
483,tugu utara/
484,/gg . wari
485,toko bint/
486,/
487,perum langensari/
488,/danau laut
489,/kryad muraya
490,/jl . bumi mas raya no.21 . pemurus baru
491,/welo'v gift
492,toko kaca/
493,/pin 6
494,/
495,/
496,soek hatta/
497,/jl . raya
498,/rs fatma
499,/kos sekar tama
500,/
501,/
502,/adi suci
503,salon musl kali/
504,/tanjung
505,/sumolawang raya
506,/95 jatiluhur jatiasih
507,palebon iv/
508,perumahan bayur/
509,/
510,/ebe florist pang besar
511,/jati rajungan raya
512,/bog ra kramat
513,/griya kenc
514,/
515,/batam lucky
516,/pemb iv
517,/
518,/fk computer kus ban
519,primkop kartika/
520,/ud . mitra
521,/kalierang sido
522,/war kopi jeng
523,tambakaji tam aji raya/
524,/raya sokka 69
525,/
526,sd negeri bulupa 03/
527,/
528,/kel .
529,/btn cabalu
530,/kartini kart iv
531,/mts swa nurul hida
532,/jatibening baru jati
533,/sagulung
534,/
535,/
536,/win - e ltc
537,teluk bet/pusaka aji bayu .pt
538,/bank rakyat
539,/
540,seminyak lily jean/
541,/pemancingan galatama jl . salak 10
542,/brawi 28
543,/
544,taman lansia/jl cisangkuy 66(depan
545,/pos polisi kelurahan
546,/jl . lan 2
547,/
548,/kel .
549,toddopuli vi/jl . borong indah
550,sd wac 41a rt/
551,/bel i
552,/mal raya
553,/jln . suka damai
554,dusun jl . cikon/
555,orig java/
556,/gubeng gg . kali 2
557,toi umum/
558,/
559,/angg dalam grendeng
560,/moena fresh denpasar
561,toko pray/
562,/
563,/pringu cepi
564,mer pondok/
565,/pangeran muha
566,yos suda/
567,/jagasatru dapur cokelat
568,/
569,/jl . boule raya
570,/kel .
571,sarana niaga cargo/
572,/bukit indah
573,/gg . dah
574,/hos . cokr
575,/
576,/
577,/pram no tuwung
578,/cv . purw nata
579,/kundur barat
580,tra agen/bus pariwi has ash
581,/
582,/gajah dem
583,/mas pkp
584,toko tale/
585,/jagakarsa mar 11
586,/paku jaya
587,sd negeri banjar banjaretno/
588,/jl.li timur bukit
589,/jela madya utara
590,/md motor
591,/jalan kel .
592,/
593,/
594,/rad sal gg
595,tukad bar i/
596,/kalibata kali
597,/gg . setia
598,/cipu raya
599,/h. sai
600,/
601,soek hatta/
602,/raya kanda gun
603,/gg . pel 6
604,/barat raya
605,sul ageng/
606,/bandung kidul
607,/kedung waringin
608,sutir raya/
609,/gg . madr
610,/
611,/cv . duta
612,/ulu jl . faq usm
613,sei hitam/
614,/ahmad yani 191
615,/
616,steam ayani/
617,/jl jati v
618,/& stay
619,/kpp makassar selatan jl . urip
620,/pop sul agung
621,/pt an nurma
622,/kel .
623,toko kaca/ks glass
624,/pais wayan prop
625,/sib dalam 1
626,/
627,/raya solo -
628,/atm bank bukopin
629,/rawa sela gg
630,/najah cafe
631,/
632,ma swasta al muhaj/
633,perumahan bumi/no.42 . jl . cihanjuang
634,mat bacukiki/
635,/pan kil
636,/mie ayam dan
637,/
638,/kli gran medika
639,/sewa gaun penga dan
640,/kemanggisan angg nel
641,/lamt no timur kel . pamulang
642,/simp manak
643,toko bang/ujung batu
644,/bali children
645,/
646,/
647,/gun singga 17855
648,/kapuk muara smp
649,/teknik indonesia
650,/joko ting pondoksari
651,/karet flamb
652,/gang tela
653,/de latinos bsd jl . de latinos
654,/bpr kedu arthas
655,/mamajang luar kel .
656,/bat ku med 86
657,/amp iv
658,/
659,suka makmur simp stas/
660,/
661,/payas bali ukir
662,/kelurahan sukajadi mobil . jl .lintas sumatera . jembatan
663,/gg . rah
664,/gg . rez
665,/gg . kera
666,/pad mekar no
667,/
668,/
669,/gun pap rambutan
670,sumber banjarsari/jl . kahur 4
671,/
672,/tpa
673,/toi
674,perumahan wahana/
675,/banyoneng dajah
676,/
677,/danau elok 9
678,/ko . pusk
679,/warna . bas rah 122
680,/
681,/angs iv
682,/kepundung no kel .
683,/jalan raya banja kel .
684,/kel .
685,/lotus rege
686,/
687,pejagalan taman/
688,/pt . arai rubber jl . manis ii
689,tebet timur tebet timur iv/
690,dusun tuo simpang/
691,nagrak nag 16/
692,/raya batu
693,/kagungan g
694,/
695,/gedog brig
696,/gunung bahagia
697,/ked anyar
698,/kampung bali
699,drawati citayem/
700,/gmim betel
701,setro baru ix/
702,/kebun raya
703,toko liliana/
704,mel indah/kel .
705,/raya paha -
706,/
707,/grand resid
708,/lenny beauty
709,the bay c16/jl . aria putra
710,toko kelontong/
711,tura barat/
712,/papa iii tanjung
713,sabu baru/
714,nusa indah/
715,/lem iii
716,/
717,/
718,/glo blus
719,sukamulya jln raya lapan/
720,/
721,75571 loa kulu/
722,/gemb sawah iii
723,/kend kol
724,/arj 175
725,/merah del v
726,/the savia blok jl . ambon
727,/
728,/gor wergo
729,/wtf tat
730,/
731,belia pon montasik/
732,/gunung putri
733,/sek . neg cido
734,/
735,/kedoya green
736,/wig ten xi gunung anyar
737,/
738,/
739,sd negeri 2 bubunan/raya pupuan -
740,/
741,super diesel/
742,/taw mangu
743,/raya payak
744,/prima x
745,tonja denpasar/gg . jat
746,toko may/jl . k.z .
747,/orc bint
748,/
749,/raya mustik 55
750,/
751,/kebun man i
752,/dip 57 cinta
753,yayasan kdm jl . rawa/
754,/ulak
755,sumber rejo diti gg . mel/
756,/
757,yapis bogor yani i/
758,/mes al hidayah
759,/
760,/gedung pramuka jl . pahlawan no
761,ahli gigi dental/
762,/
763,/kena raya kel .
764,/apartemen kalibata city
765,/jl . ras said
766,/gang srikandi kel .
767,/
768,/raya jek pant rez
769,/kel . buahbatu
770,/karya jaya gedung johor
771,/jawa tour dan
772,padat karya/
773,/harm voice
774,/pro abadijaya sukmajaya
775,sukoanyar erwana/raya mojo
776,/mandiri indonesia
777,toko narm bang/
778,/jatimulya gg mulia 139
779,/pt . cipta mandiri jl raya narogong km.18
780,/atm bri
781,/sidotopo
782,/rawa cito
783,/
784,/boj kulur
785,/batu surau
786,/
787,/
788,/
789,/cemp raya
790,/
791,/mel raya
792,/
793,/stasiun cibinong jl . padurenan
794,sabila collection/
795,/gg . siaga
796,/metta collection
797,/mi swa mift
798,/pos indon
799,/macc ra
800,/
801,/kud interior
802,/kayla baby
803,/jl . h. saa
804,/
805,/btn kar asem
806,/
807,/mas al - muh
808,perumahan permata/jl . pancawati darawolong
809,/
810,/kel .
811,/pulomas residence
812,pemogan gg ./
813,/
814,/gedung griya lt . no .
815,/gar raya kel .
816,/
817,/kel . kemayoran
818,/beng april
819,smart kos ibu far/
820,/kar anyar karang
821,/lin suma
822,/
823,/
824,/bumi citeu
825,/ny . martinah
826,pemecutan klod/gg . ulun
827,/idola family
828,peri kem 70 71 kelapa gading barat/
829,/palm spring . 101
830,tut hars/kel .
831,/dewa chic
832,/
833,/bp - p kena raya
834,/sawo
835,/ten xxv 21
836,/kayu gede
837,toko anya/
838,/fania
839,/bu yoto
840,/
841,/jua rempoa
842,/sut jelita 2
843,/jakasampurna kasu 28
844,/pucangsawit ir . sut
845,/jl . gajahmada ruko
846,/
847,/cibuntu raya
848,simpangan cisan/raya 188
849,/
850,toko emas/
851,/jl . raya duri
852,/
853,/kun kulon
854,/ujung baru murni . medan belawan
855,/
856,/
857,/kendeng vi kel . gajah
858,sudir gang damai/
859,/mojo iii
860,perum puri/
861,pondok benda/
862,/
863,/kel .
864,serd ba/
865,/
866,pondok karya/
867,/
868,/raya keb 161
869,/guk dama jl . subarang kab .
870,sema raya/
871,/raya cila kko
872,/mesj gg
873,/
874,/jnt express pramuka bee hotel jl . pramuka km.6
875,/hotel mira
876,tan lor 10/
877,/
878,/imbanagara raya raya imb
879,/jl . brigjen
880,/pag loji bogor
881,/
882,pahl ser/
883,/gar no
884,/
885,/
886,/gunungparang siliw 127
887,/
888,/ren 57 ngringo
889,/
890,/
891,/
892,/g. kisa bojong
893,terr avenue ./
894,/
895,datu ayam/
896,/fadilah ii kep tabam
897,/
898,/jatil vi katulampa
899,/
900,/audy net bat barat
901,/
902,susanti lam indah/
903,soek hatta karangsono bangsalsari/
904,/cis kulon viii
905,soek hatta taxi blue bird ./
906,/
907,/pulo wonok
908,/
909,/bua kana ruko jl . a. p.
910,/es campur ser bah
911,/
912,perum bangka/
913,/tb . anwar jaya
914,/
915,/
916,/babakan madang
917,/raya bek
918,taji farm/
919,/jl . pendaratan udang
920,/mega lestari
921,/gajah mada
922,/bank dana dr .
923,/kerung- barana
924,/pin perak ii
925,pejan no/apo bersama
926,sumber kera/pt raya
927,/kel .
928,/
929,/
930,/gg . delta
931,/mas ar rau gunung bahagia
932,toko pak asep/gunung batu
933,/bizp boule
934,/adi suci pt rudi
935,tuah karya/jl . suka karya
936,/
937,/alba raya
938,toko wij merpati/
939,/arj 3 timur rt
940,/warkop bu
941,/
942,/
943,/
944,perumahan buana/
945,/
946,toko brig/sei
947,/buwek raya gg . danau
948,toko marka jaya/
949,pondok mak/
950,jaya abadi/jab sari
951,/bus megamas maka
952,toko permata/29 raya
953,/ulu per
954,/baba no
955,padma group/
956,/kedai mey ran
957,/
958,/
959,/braja sakti raya way jepara
960,/timur
961,/pt astrido jl . raya narogong no .
962,/pramb ii
963,/k'pa net keseh
964,/gading lebak
965,/tanjung
966,/kedoya utara gar no
967,/
968,/pes no
969,/mas benda
970,sart barat viii/janti waru
971,/pt petrogas . gedung jl pemuda no
972,/
973,/abung selatan
974,/angke rt01
975,/
976,/
977,/
978,/lan suko no
979,/
980,/frisca cell
981,trun 2/
982,/bromo no ksp tulus rezeki
983,/gelam jaya
984,/wiy baru 3
985,/
986,/zam vii ciwaruga
987,/gg . vii
988,/murung
989,/bb 17 rt
990,/agung isl
991,/tar bha kras kras
992,/gg . banda jawi dalam pontianak
993,/mas mift bar
994,/fauzi sungai
995,/nerogtog puspa
996,/rafl iii 34
997,/haji
998,/
999,/pus v
1000,tegal amba/
1001,/jend bas rah no bii fse kci mayjen
1002,sumur band/
1003,/
1004,/
1005,/
1006,yayasan wakaf/. ngalle
1007,/aren jaya
1008,yatim piatu al huda/
1009,sido iv/
1010,/dar cik
1011,/mas barat
1012,/pas marmer gra dan kra
1013,/
1014,/
1015,/
1016,/jl.gkpn . no
1017,/sei barat jan
1018,/
1019,teluk pucung ang via 62/
1020,/jatimulya sektor melati jl . boule
1021,/jaka setia tam aga
1022,/prupuh raya
1023,/ujung menteng ment
1024,/
1025,/ramb teling bawah
1026,/
1027,/ivo wedd
1028,/wiyung toko imuk wiyung gang
1029,/
1030,"/kem , no"
1031,stas gub stas/gub 7
1032,/
1033,/ibu ing garn
1034,/kad jati mulyo lowokwaru
1035,/
1036,/birobuli selatan dewi
1037,/
1038,/
1039,samu paint/mitra bang
1040,/sm . raja no
1041,/ibadah raya gbi how palem raya
1042,/arema les
1043,harjamukti kel ./
1044,perum jiep/
1045,/
1046,/warung bu lisma pos 2
1047,/ban 17
1048,sela johar/jalan
1049,taman sent/
1050,toko mas bint/
1051,/air salemba ruko
1052,/raya made 50
1053,/
1054,/
1055,/jalan
1056,/
1057,/minuman dum dum
1058,simpang haru/sdn 03
1059,wonokusumo gg ./
1060,/jawi luar
1061,/
1062,/gg . lokom 2
1063,/
1064,/
1065,/mus jetis jetis
1066,/cipag bogor
1067,/pajaj i
1068,/tri mulyo war
1069,/
1070,/kebayoran baru
1071,/perum ged
1072,/
1073,salon mukti/
1074,adilathufaisy house/
1075,/m dar 145
1076,smk negeri/
1077,kenj 287/
1078,teluk nib timur vi/
1079,/
1080,/
1081,/
1082,toko wis rasa/
1083,/kun xiii
1084,/kios amelia
1085,/jalan no .
1086,sd negeri/
1087,/ir .
1088,/pucung kel
1089,/rawa baru
1090,/kebayoran lama
1091,/tx tre zae zakse
1092,/best stamp medan baru
1093,/
1094,smp negeri/
1095,ybs sblm/mega lestari kel .
1096,/kamal mush
1097,/
1098,/
1099,/apotek zentrum rawama
1100,/wisata bukit
1101,/gala kapal kaluku
1102,/nu ind
1103,/
1104,/
1105,/dpp lsm jang
1106,/puc rum
1107,/
1108,/
1109,al iklas/
1110,/tum wir 139
1111,/
1112,sd neg bent bent/
1113,/gg . mark 2 sitirejo iii
1114,/pad timur iv
1115,- 649 kertapati/karya jaya jl . pasar
1116,/kampung rempak
1117,/batur raya 135 rt
1118,/
1119,/
1120,/timur
1121,/pintu kapuk bojong
1122,/rama utama dry cleaning
1123,/kotamatsum iii
1124,/jalur rejeki
1125,/
1126,/prap raya
1127,/es cen
1128,/
1129,/maru timur 37 rt
1130,/balai rupih balai rupih
1131,/
1132,/gg . jai kebon jeruk
1133,pekelingan kh/asy '
1134,/mawar iii
1135,/
1136,/276a ledeng
1137,/bie laun
1138,/gg . has 2
1139,/jan . sultan mahmud
1140,/jl . anwar cikarang
1141,/kel . ratu
1142,/
1143,/ganesha operation perum
1144,panj raya 125/
1145,sd muhammadiyah/ds . banyumas asri
1146,/abdu daeng 376b batua
1147,/sanj raya
1148,/as - s
1149,fat link sak- asem/
1150,/mangliawan perm jin
1151,/gpdi iman bawen
1152,/jl.t laksanamekar padalarang
1153,/nawi malik
1154,/
1155,/kel 49 petisah medan baru
1156,psikologi indon/
1157,/menteng rt01
1158,/puri baru
1159,yayasan bakti/ten no
1160,/gg . pel 2
1161,/kes ii
1162,/jatiwaringin gamp iv
1163,unit ulamm kali/
1164,firra taxi/
1165,/kebayoran lama
1166,/pegangsaan giant megaria jl . dip rt
1167,utan kayu/man vii
1168,toko rohidin keramasan/keram no
1169,/gg . gn . pera jawi dalam
1170,/
1171,/
1172,sumur batu/gg . sumba
1173,/
1174,perum must/
1175,/sut cem 4 jagung kel
1176,/gal cv
1177,/con raya
1178,/pal residence jl . pal xi
1179,/kaliuntu nuri
1180,/dunia baru plas
1181,/
1182,/k.h . bust
1183,/panjang raya
1184,"/bunga tero , kel ."
1185,/bukit lama pdam
1186,/keboansikep sema
1187,perum bukit/
1188,/indra 68b
1189,/kel . cikarang
1190,tenayan raya/gg . mak
1191,/
1192,/gandaria selatan bahari
1193,( sdn ) tondo/
1194,/mts swasta assa
1195,/jl.gelatik raya blok b15
1196,/cah den taman med
1197,/bunulrejo gg
1198,/warung nasi ibu
1199,"/ist motor , dr ."
1200,/
1201,/mas babuss tanjung ratu
1202,/wij kus ii
1203,/jl taman barat no
1204,/manukan
1205,/
1206,/graha per
1207,/perm cikarang kel .
1208,/kebab saudi
1209,/
1210,/rung mej sela iv
1211,/syah
1212,/aq .
1213,/ibu dan
1214,/pon serut 2
1215,perum pes singo/
1216,/bang jo
1217,/
1218,/arafah kebon kac
1219,taman kanak/
1220,/
1221,detikcom biro/jl yos sudarso 17a gedung bank
1222,/dpr 2 kel .
1223,/mas nurul ikhsan
1224,/
1225,/
1226,/tanjung
1227,/jl pembina 4
1228,poris indah/
1229,/
1230,/kel .
1231,/ahmad yani
1232,/
1233,/istana rasa
1234,/
1235,/raya pad luwih no
1236,/raya mojo
1237,/19 ilir jal 225
1238,perumahan golden/
1239,toko indy/bonto duri
1240,/jl . kelabat no.43
1241,/gad raya
1242,/airla 107
1243,/gang budi
1244,/indom raya
1245,/muha yamin
1246,tan v/
1247,/gul berkah
1248,/
1249,/tutup raya blora
1250,/raya hanj
1251,/dr . rudi candra
1252,tirtomartani raya km/
1253,/jalan ment
1254,/
1255,/hara jaya
1256,/
1257,/bangka the papilion kem raya
1258,/
1259,/
1260,/gun sakti
1261,/kemu raya
1262,/war lotek murah
1263,/gg . suk
1264,/
1265,/dah ii karangsatria
1266,toko visco/
1267,/gg . hro
1268,koperasi maju tak gen/pan raya
1269,/bimba aiueo
1270,"/jl . karimun jawa a8,sukarame ."
1271,/musholla nurul khik
1272,/
1273,/muja 36
1274,/
1275,/di bawah
1276,sal cell/
1277,/jae suman no 2
1278,soak bato/
1279,/
1280,toko hawai/lin timur
1281,/del iv
1282,/raya pen 253
1283,/
1284,purwakarta munjul/
1285,/kal no 4
1286,/kil padi a aek nauli ii
1287,/
1288,/jl . bun
1289,/ujung
1290,/kar ii
1291,perum puri/
1292,/
1293,/dok saha iiib
1294,/
1295,/gg . anjas
1296,/jatibening baru bukit
1297,/joe lenteng agung jagakarsa
1298,/alfamart raya
1299,/tel
1300,/gateway cicadas jl . jendral ahmad
1301,/mer sela 23
1302,/
1303,/kandang limun gg . mel
1304,/ger prote
1305,/
1306,/
1307,/mie ayam wa
1308,/
1309,/gg . 9 tanjung
1310,/haji baron
1311,/kar empat 12
1312,/jakasampurna gar vi no
1313,/sutr kar turi
1314,/ayid coffe
1315,timur gar raya 17/jurang manggu
1316,margamulya prop/
1317,toko sk/
1318,/bar no
1319,yos suda/medaeng waru
1320,/
1321,/
1322,/tpq nurul ikhsan
1323,/
1324,/pt manggala jaya gas mayor suj
1325,/
1326,sri wedari/& restaurant
1327,/gun batu
1328,/much raya
1329,/
1330,salon mata/
1331,bumiharjo kel ./
1332,timur iv/
1333,/kh . moch
1334,/ancol kem mas barat
1335,/jln otista raya
1336,/ger gitj pulorejo pulorejo
1337,sd swasta yp hkbp/
1338,satu barat/
1339,/mualimat kampung bahasa
1340,semarang barat/kenc iii
1341,/kampung lalang gg . swad
1342,/ana laun
1343,/arga barat
1344,/asrama bondan
1345,/gedung divisi
1346,/tanjung
1347,/gg . mas plaosan wonoayu
1348,/kantor kepala
1349,/
1350,/raya bekri
1351,/
1352,/
1353,/kan gamp rundeng
1354,plandi kel ./
1355,/bandung selatan
1356,patr 2/
1357,/gg . subur jagakarsa
1358,jalan aria/bay paradise resort
1359,/
1360,/da ba ii
1361,/kale laundry
1362,/raya cija
1363,/nase lama
1364,sema raya/
1365,/dan 03
1366,smk al -/
1367,/jl kebun raya
1368,/
1369,sukabumi utara/
1370,/
1371,pura dalem/
1372,/
1373,/ahmad yani timur kampungdalem kel
1374,/sarana
1375,/berl 6
1376,/angg ii
1377,/gigi siti
1378,/jl . madukoro raya
1379,/
1380,objek wis kp ./
1381,/jus amanda adi suci
1382,/abdurra saleh no jomant pt
1383,/jalan suka nusa nusa . rm .
1384,/
1385,/para iii kel .
1386,/pon raya
1387,/jl . dek set
1388,/apartemen green bay ) . jl . pluit
1389,/danau singk
1390,/
1391,/tanjung gg . anye iv
1392,/gadung kayu sela
1393,/kelayan selatan nuri lll 7
1394,/
1395,/mah vi
1396,/
1397,/gg . arj no
1398,/kebon baru
1399,sindangpalay bou 125/
1400,/
1401,/
1402,/art utara 7
1403,/
1404,/pahlawan 1
1405,/ud . h.
1406,/
1407,/simo kel .
1408,/
1409,/merd 134 banjarharjo
1410,/
1411,/
1412,/ash buaran
1413,perumahan golden/
1414,pinangsia mas/
1415,/jl . pan siswodipuran boyolali
